Date_Collected,Plot,Species,Sex,Weight_g,Scale_Calibration_Status
2014-01-09,1,DM,M,40,
2014-01-09,1,DM,F,36,
2014-01-09,1,DS,F,135,
2014-01-20,1,DM,F,39,
2014-01-20,1,DM,M,43,
2014-01-20,1,DS,F,144,
2014-03-13,1,DM,F,51,
2014-03-13,1,DM,F,44,
2014-03-13,1,DS,F,146,
2014-01-08,2,NA,,,
2014-01-08,2,DM,M,44,
2014-01-08,2,DM,M,38,
2014-01-08,2,OL,,,
2014-01-08,2,PE,M,22,
2014-01-08,2,DM,M,38,
2014-01-08,2,DM,M,48,
2014-01-08,2,DM,M,43,
2014-01-08,2,DM,F,35,
2014-01-08,2,DM,M,43,
2014-01-08,2,DM,F,37,
2014-01-08,2,PF,F,7,
2014-01-08,2,DM,M,45,
2014-01-08,2,OT,,,
2014-01-08,2,DS,M,157,NC
2014-01-08,2,OX,,,
2014-02-18,2,NA,M,218,NC
2014-02-18,2,PF,F,7,
2014-02-18,2,DM,M,52,
2014-01-08,3,PF,F,7,
2014-02-18,3,OT,M,24,
2014-02-18,3,OT,F,23,
2014-02-19,3,NA,,232,
2014-02-20,3,OT,M,22,
2014-02-21,3,OT,M,26,
2014-02-22,3,PF,F,8,
2014-02-23,3,NA,,,
2014-02-24,3,,,,
2014-02-25,3,NA,,182,
2014-02-26,3,OT,M,29,
2014-02-27,3,NA,,115,
2014-02-28,3,NA,,190,
2013-07-16,2,DM,F,,
2013-07-16,1,DM,M,33,
2013-07-16,3,DM,M,,
2013-07-16,1,DM,M,,
2013-07-18,3,DM,M,40,
2013-07-18,4,DM,M,48,
2013-07-18,2,DM,F,29,
2013-07-18,1,DM,F,46,
2013-07-18,4,DM,M,36,
2013-07-18,2,DM,F,35,
2013-07-18,1,DM,F,22,
2013-07-18,3,DM,F,42,
2013-07-18,1,DM,F,41,
2013-07-18,4,DM,F,37,
2013-08-19,4,DO,F,52,
2013-10-17,3,DO,F,33,
2013-10-17,3,DO,F,50,
2013-10-17,1,DO,F,48,
2013-10-17,17,DO,F,31,
2013-10-18,4,DO,F,41,
2013-11-12,1,DO,F,44,
2013-11-12,1,DO,M,48,
2013-11-14,2,DO,F,39,
2013-12-10,3,DO,F,40,
2013-12-10,1,DO,M,45,
2013-12-11,2,DO,F,41,
2013-11-12,4,DS,F,117,
2013-11-12,1,DS,F,121,
2013-11-12,20,DS,M,115,
2013-11-12,3,DS,F,120,
2013-11-13,1,DS,F,118,
2013-11-13,3,DS,F,126,
2013-11-13,2,DS,M,132,NC
2013-11-13,1,DS,F,113,NC
2013-11-13,3,DS,F,122,
2013-11-13,4,DS,F,107,
2013-11-13,4,DS,F,115,
